epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3043,1.01859,3.36937,1.22919,0.0214,0.45708,0.21142,0.16493,0.70369,3.70043,0.99517,0.000357143,0.000357143,0.000357143
2,77.9275,0.92527,2.17567,1.15263,0.02157,0.41588,0.16277,0.08216,0.92154,3.50779,1.14682,0.000735506,0.000735506,0.000735506
3,115.881,0.98531,1.60355,1.15369,0.88284,0.18486,0.43478,0.30994,1.0162,3.14073,1.19504,0.00107262,0.00107262,0.00107262
4,153.169,0.98268,1.39399,1.17821,0.84192,0.08855,0.41863,0.29013,1.22039,3.35772,1.31758,0.00106437,0.00106437,0.00106437
5,190.506,0.93575,1.32055,1.11763,0.91563,0.17391,0.44847,0.28785,1.15769,3.21863,1.29841,0.0010025,0.0010025,0.0010025
6,227.758,0.93157,1.21781,1.12917,0.93399,0.18188,0.37829,0.25544,1.15844,3.24185,1.40105,0.000940625,0.000940625,0.000940625
7,265.312,0.88146,1.19256,1.10123,0.95035,0.17551,0.33763,0.21053,1.08224,3.22692,1.40175,0.00087875,0.00087875,0.00087875
8,302.788,0.86155,1.15731,1.05948,0.9315,0.22826,0.42665,0.28841,1.05033,3.03274,1.27346,0.000816875,0.000816875,0.000816875
9,343.295,0.86561,1.07232,1.08684,0.89654,0.22826,0.49935,0.35508,1.04243,2.9278,1.2363,0.000755,0.000755,0.000755
10,405.905,0.80247,1.03893,1.05711,0.74418,0.26217,0.62276,0.46824,0.88483,2.74332,1.12807,0.000693125,0.000693125,0.000693125
11,467.107,0.75217,1.24871,0.99406,0.88612,0.29698,0.66151,0.48523,0.9064,2.60291,1.15709,0.00063125,0.00063125,0.00063125
12,528.194,0.73867,1.18417,1.01947,0.81458,0.50362,0.81529,0.57007,0.97752,2.31629,1.1845,0.000569375,0.000569375,0.000569375
13,589.325,0.73888,1.15213,1.02198,0.7443,0.67243,0.84683,0.60304,0.97476,2.14219,1.20546,0.0005075,0.0005075,0.0005075
14,650.467,0.72896,1.07626,0.9701,0.69868,0.78482,0.86121,0.64513,0.84543,1.99152,1.13179,0.000445625,0.000445625,0.000445625
15,711.978,0.69584,1.02676,0.98086,0.75239,0.76549,0.914,0.70801,0.80295,1.7173,1.10372,0.00038375,0.00038375,0.00038375
16,772.9,0.67584,1.01337,0.96619,0.79897,0.81327,0.91973,0.70706,0.79104,1.52931,1.0767,0.000321875,0.000321875,0.000321875
17,833.863,0.64824,0.9704,0.96495,0.84786,0.82291,0.92719,0.71195,0.78557,1.41904,1.07231,0.00026,0.00026,0.00026
18,895.096,0.65862,0.94718,0.9454,0.87687,0.8629,0.9325,0.72979,0.73433,1.2449,1.02371,0.000198125,0.000198125,0.000198125
19,956.506,0.6295,0.90199,0.95387,0.85595,0.88197,0.93362,0.73459,0.70825,1.17466,1.00556,0.00013625,0.00013625,0.00013625
20,1018.38,0.64229,0.92407,0.94322,0.86281,0.89396,0.93629,0.74496,0.7,1.13198,0.99562,7.4375e-05,7.4375e-05,7.4375e-05
